event	time	node	configname	repetition	platoon_size
3621386	618.81886854038	Highway.node[79].appl	SimpleHighNumberCACC	1	5.3837920159208
3621542	618.819123607057	Highway.node[78].appl	SimpleHighNumberCACC	1	1.8972120800304e-320
364380	200.343025268236	Highway.node[6].appl	SimpleHighNumberCACC	1	6.22374971996
364532	200.343254364561	Highway.node[4].appl	SimpleHighNumberCACC	1	1.8527461719047e-321
378929	204.123280991961	Highway.node[21].appl	SimpleHighNumberCACC	1	5.258624169568
379134	204.123523058125	Highway.node[20].appl	SimpleHighNumberCACC	1	3.9821691054804e-321
3878748	640.12445448082	Highway.node[70].appl	SimpleHighNumberCACC	1	5.9536850023609
3878940	640.124748577477	Highway.node[68].appl	SimpleHighNumberCACC	1	1.7430635985279e-320
3890786	641.056475003844	Highway.node[81].appl	SimpleHighNumberCACC	1	5.4772508074816
3890957	641.056730069972	Highway.node[80].appl	SimpleHighNumberCACC	1	1.9426661194478e-320
4049832	653.679660936567	Highway.node[83].appl	SimpleHighNumberCACC	1	5.3459064231219
4049995	653.679877002791	Highway.node[82].appl	SimpleHighNumberCACC	1	2.0044243251779e-320
4130477	659.79990425675	Highway.node[85].appl	SimpleHighNumberCACC	1	5.1220183129086
4130653	659.80014632327	Highway.node[84].appl	SimpleHighNumberCACC	1	2.0760638438249e-320
4152224	661.467965974505	Highway.node[40].appl	SimpleHighNumberCACC	1	5.022027449112
4152382	661.468195130778	Highway.node[36].appl	SimpleHighNumberCACC	1	1.2761715632079e-320
423650	215.609597603632	Highway.node[23].appl	SimpleHighNumberCACC	1	5.1117165181437
423819	215.609878670073	Highway.node[22].appl	SimpleHighNumberCACC	1	4.5256413159058e-321
4242168	668.142109870261	Highway.node[28].appl	SimpleHighNumberCACC	1	3.2755315931747
4242390	668.142417026594	Highway.node[24].appl	SimpleHighNumberCACC	1	7.0404354532378e-321
42774	71.258180964218	Highway.node[3].appl	SimpleHighNumberCACC	1	5.3079320478357
42887	71.258410030469	Highway.node[2].appl	SimpleHighNumberCACC	1	1.4821969375237e-322
450554	222.074143867458	Highway.node[10].appl	SimpleHighNumberCACC	1	6.6423990865437
450710	222.074372964122	Highway.node[8].appl	SimpleHighNumberCACC	1	2.7766489296278e-321
472472	227.110603420868	Highway.node[14].appl	SimpleHighNumberCACC	1	7.911865028706
472652	227.110832518726	Highway.node[12].appl	SimpleHighNumberCACC	1	3.9327625408963e-321
489862	230.927120744639	Highway.node[25].appl	SimpleHighNumberCACC	1	5.0997931577412
490023	230.927362811161	Highway.node[24].appl	SimpleHighNumberCACC	1	5.0147663052887e-321
559520	246.239158288471	Highway.node[27].appl	SimpleHighNumberCACC	1	5.2595470725845
559691	246.239400354904	Highway.node[26].appl	SimpleHighNumberCACC	1	5.4643660430042e-321
594103	253.400906577464	Highway.node[2].appl	SimpleHighNumberCACC	1	3.1297653598609
594244	253.401544673589	Highway.node[0].appl	SimpleHighNumberCACC	1	5.928787750095e-322
61301	84.816538283344	Highway.node[5].appl	SimpleHighNumberCACC	1	5.1572288722449
61434	84.816767349556	Highway.node[4].appl	SimpleHighNumberCACC	1	3.7548989083935e-322
624970	259.579308017951	Highway.node[29].appl	SimpleHighNumberCACC	1	5.2302509515463
625131	259.579615084551	Highway.node[28].appl	SimpleHighNumberCACC	1	5.9831349711375e-321
694532	273.104214172768	Highway.node[31].appl	SimpleHighNumberCACC	1	5.1337346136879
694693	273.104456239151	Highway.node[30].appl	SimpleHighNumberCACC	1	6.4870819298956e-321
771182	286.976549785994	Highway.node[18].appl	SimpleHighNumberCACC	1	5.5211249254627
771418	286.97683088217	Highway.node[16].appl	SimpleHighNumberCACC	1	4.3873029350703e-321
808077	293.41860725824	Highway.node[33].appl	SimpleHighNumberCACC	1	5.6633115081228
