event	time	node	configname	repetition	platoon_size
180830	144.26582742452	Highway.node[6].appl	SimpleHighNumberPLOEG	0	9.9536898371743
180993	144.266121610186	Highway.node[4].appl	SimpleHighNumberPLOEG	0	1.581010066692e-321
1861059	441.583468917575	Highway.node[57].appl	SimpleHighNumberPLOEG	0	7.6955356767807
1861200	441.583737028888	Highway.node[56].appl	SimpleHighNumberPLOEG	0	1.3809134801263e-320
201815	151.862438932183	Highway.node[15].appl	SimpleHighNumberPLOEG	0	7.8345261594289
201971	151.86269404269	Highway.node[14].appl	SimpleHighNumberPLOEG	0	2.6580731746259e-321
203217	152.158795232747	Highway.node[2].appl	SimpleHighNumberPLOEG	0	6.0682853414876
203320	152.159076425874	Highway.node[0].appl	SimpleHighNumberPLOEG	0	5.5829417980061e-322
2038779	462.144661470223	Highway.node[59].appl	SimpleHighNumberPLOEG	0	7.8852103294078
2038927	462.144942585844	Highway.node[58].appl	SimpleHighNumberPLOEG	0	1.4145099440435e-320
2056109	463.967328242594	Highway.node[50].appl	SimpleHighNumberPLOEG	0	8.1446083397288
2056269	463.96755743619	Highway.node[48].appl	SimpleHighNumberPLOEG	0	1.2450454275199e-320
2080174	466.620593680881	Highway.node[36].appl	SimpleHighNumberPLOEG	0	8.9180994770618
2080428	466.6211670341	Highway.node[32].appl	SimpleHighNumberPLOEG	0	1.0400081844958e-320
2092110	467.705013915348	Highway.node[42].appl	SimpleHighNumberPLOEG	0	4.2620639644409
2092300	467.705269117179	Highway.node[40].appl	SimpleHighNumberPLOEG	0	8.8091904653494e-321
2142322	473.084509640957	Highway.node[61].appl	SimpleHighNumberPLOEG	0	7.8105386323386
2142463	473.08480375553	Highway.node[60].appl	SimpleHighNumberPLOEG	0	1.468857165086e-320
233843	162.738242939102	Highway.node[10].appl	SimpleHighNumberPLOEG	0	10.955364581333
234011	162.738498122215	Highway.node[8].appl	SimpleHighNumberPLOEG	0	2.791470899003e-321
2370143	497.576875685569	Highway.node[63].appl	SimpleHighNumberPLOEG	0	7.8607791500949
2370294	497.577169795929	Highway.node[62].appl	SimpleHighNumberPLOEG	0	1.5054180228783e-320
2382381	498.659487594833	Highway.node[58].appl	SimpleHighNumberPLOEG	0	10.743395355638
2382560	498.659742779781	Highway.node[56].appl	SimpleHighNumberPLOEG	0	1.5434610776081e-320
244453	166.083277050744	Highway.node[17].appl	SimpleHighNumberPLOEG	0	7.6849561250334
244612	166.083584161018	Highway.node[16].appl	SimpleHighNumberPLOEG	0	3.1966047285929e-321
2469877	507.692342627628	Highway.node[65].appl	SimpleHighNumberPLOEG	0	7.8978825912727
2470040	507.692623742804	Highway.node[64].appl	SimpleHighNumberPLOEG	0	1.5795278697545e-320
25068	55.842274549199	Highway.node[3].appl	SimpleHighNumberPLOEG	0	7.6493389086918
25161	55.842542658016	Highway.node[2].appl	SimpleHighNumberPLOEG	0	1.976262583365e-322
2617651	522.841816164716	Highway.node[67].appl	SimpleHighNumberPLOEG	0	7.9358246666552
2617864	522.842058279892	Highway.node[66].appl	SimpleHighNumberPLOEG	0	1.6363454190262e-320
2643098	525.250887041573	Highway.node[46].appl	SimpleHighNumberPLOEG	0	3.7573274735926
2643290	525.25112924319	Highway.node[44].appl	SimpleHighNumberPLOEG	0	9.3823066145253e-321
275078	175.887891128955	Highway.node[19].appl	SimpleHighNumberPLOEG	0	7.9413313852421
2751539	536.1216575473	Highway.node[69].appl	SimpleHighNumberPLOEG	0	7.9322683940727
2751680	536.121964663697	Highway.node[68].appl	SimpleHighNumberPLOEG	0	1.6941510995896e-320
275227	175.888198243973	Highway.node[18].appl	SimpleHighNumberPLOEG	0	3.7796021906855e-321
2810058	541.97031153494	Highway.node[28].appl	SimpleHighNumberPLOEG	0	5.4402700953766
2810231	541.970605880564	Highway.node[24].appl	SimpleHighNumberPLOEG	0	8.7844871830574e-321
2880675	548.756662925255	Highway.node[71].appl	SimpleHighNumberPLOEG	0	7.6802478912359
2880816	548.756944035346	Highway.node[70].appl	SimpleHighNumberPLOEG	0	1.7524508457989e-320
2903295	550.870378359881	Highway.node[24].appl	SimpleHighNumberPLOEG	0	26.682837325299
2903495	550.870634009359	Highway.node[16].appl	SimpleHighNumberPLOEG	0	1.9342670034685e-320
